algo,serie,taille,temps
strassenSeuil,5,32,0.00003
strassenSeuil,1,64,0.000265
strassenSeuil,2,64,0.000252
strassenSeuil,3,64,0.000264
strassenSeuil,4,64,0.000261
strassenSeuil,5,64,0.000252
strassenSeuil,1,64,0.000263
strassenSeuil,2,64,0.00028
strassenSeuil,3,64,0.000257
strassenSeuil,4,64,0.000252
strassenSeuil,5,64,0.000254
strassenSeuil,1,64,0.000266
strassenSeuil,2,64,0.000252
strassenSeuil,3,64,0.000252
strassenSeuil,4,64,0.000269
strassenSeuil,5,64,0.000275
strassenSeuil,1,64,0.00026
strassenSeuil,2,64,0.00026
strassenSeuil,3,64,0.000252
strassenSeuil,4,64,0.00026
strassenSeuil,5,64,0.000264
strassenSeuil,1,64,0.000285
strassenSeuil,2,64,0.000252
strassenSeuil,3,64,0.000226
strassenSeuil,4,64,0.000226
strassenSeuil,5,64,0.000226
strassenSeuil,1,128,0.001945
strassenSeuil,2,128,0.001938
strassenSeuil,3,128,0.001941
strassenSeuil,4,128,0.001942
strassenSeuil,5,128,0.001955
strassenSeuil,1,128,0.001938
strassenSeuil,2,128,0.001942
strassenSeuil,3,128,0.001946
strassenSeuil,4,128,0.001941
strassenSeuil,5,128,0.001953
strassenSeuil,1,128,0.001959
strassenSeuil,2,128,0.002016
strassenSeuil,3,128,0.002023
strassenSeuil,4,128,0.002031
strassenSeuil,5,128,0.002043
strassenSeuil,1,128,0.002106
strassenSeuil,2,128,0.00195
strassenSeuil,3,128,0.00197
strassenSeuil,4,128,0.002019
strassenSeuil,5,128,0.002018
strassenSeuil,1,128,0.00195
strassenSeuil,2,128,0.001938
strassenSeuil,3,128,0.002032
strassenSeuil,4,128,0.002021
strassenSeuil,5,128,0.002039
strassenSeuil,1,256,0.018014
strassenSeuil,2,256,0.017803
strassenSeuil,3,256,0.018573
strassenSeuil,4,256,0.016039
strassenSeuil,5,256,0.014475
strassenSeuil,1,256,0.014359
strassenSeuil,2,256,0.015991
strassenSeuil,3,256,0.018013
strassenSeuil,4,256,0.0158
strassenSeuil,5,256,0.01466
strassenSeuil,1,256,0.01491
strassenSeuil,2,256,0.01446
strassenSeuil,3,256,0.017708
strassenSeuil,4,256,0.017617
strassenSeuil,5,256,0.013022
strassenSeuil,1,256,0.014702
strassenSeuil,2,256,0.014049
strassenSeuil,3,256,0.018193
strassenSeuil,4,256,0.015995
strassenSeuil,5,256,0.015321
strassenSeuil,1,256,0.013827
strassenSeuil,2,256,0.015322
strassenSeuil,3,256,0.015406
strassenSeuil,4,256,0.017451
strassenSeuil,5,256,0.018207
strassenSeuil,1,512,0.623635
strassenSeuil,2,512,0.627943
strassenSeuil,3,512,0.621642
strassenSeuil,4,512,0.621429
strassen,1,2048,493.039024
strassen,2,2048,493.907763
strassen,3,2048,492.013959
strassen,4,2048,490.261359
strassenSeuil,1,2048,32.202093
strassenSeuil,2,2048,32.043846
strassenSeuil,3,2048,32.193041
strassenSeuil,4,2048,32.507349
conv,1,2048,62.701122
conv,2,2048,61.939098
conv,3,2048,63.270046
conv,4,2048,62.039314
